Kongress der Kaiserlichen Akademie der Astronomen 
Jahrestagung 1973 in Lorsch
Legende:
x,y -> z
Im aktuellen Land haben z Personen an den Koordinaten (x,y)
einen Komenten beobachtet.
=== Land Nr. 1 ===
22296,9597 -> 7
881,21896 -> 4
10942,5249 -> 4
6942,10760 -> 8
8273,9148 -> 5
4997,16804 -> 4
20499,6294 -> 6
25747,7612 -> 8
21280,6330 -> 8
6936,21778 -> 8
11272,28611 -> 3
17171,25205 -> 5
32254,32053 -> 4
9273,24728 -> 6
8791,31621 -> 2
18539,11329 -> 8
=== Land Nr. 2 ===
8003,30553 -> 6
7128,23893 -> 7
13333,14925 -> 4
17660,7273 -> 3
28269,11997 -> 2
9920,24025 -> 2
22812,27455 -> 4
26971,19618 -> 1
8363,12126 -> 8
30420,32360 -> 2
21176,17961 -> 5
7722,14195 -> 8
29872,29946 -> 3
7309,24714 -> 6
25489,962 -> 4
11830,10729 -> 2
4534,32560 -> 4
4275,32214 -> 8
6360,12835 -> 8
7888,10873 -> 8
1488,1527 -> 4
29275,24063 -> 1
4277,4490 -> 6
21104,309 -> 8
28532,11548 -> 8
13600,31774 -> 3
27119,30029 -> 1
20871,19762 -> 1
7751,20960 -> 1
15269,26433 -> 6
=== Land Nr. 3 ===
18653,25883 -> 1
21923,21304 -> 5
14122,20177 -> 4
6730,27188 -> 7
7564,31354 -> 2
29385,29099 -> 6
10117,20968 -> 6
32300,18063 -> 6
5936,13949 -> 7
31502,26041 -> 5
29651,8420 -> 4
29795,20224 -> 8
28880,19396 -> 8
30839,19908 -> 7
11630,26598 -> 1
3447,27865 -> 5
813,6329 -> 2
=== Land Nr. 4 ===
22803,5393 -> 1
7068,28236 -> 8
6434,23772 -> 2
18418,19976 -> 5
10581,13490 -> 6
25561,19921 -> 4
30284,12101 -> 2
14881,32095 -> 3
30902,30129 -> 6
15717,2021 -> 5
13123,22297 -> 1
16317,3175 -> 6
17547,8317 -> 1
31760,5449 -> 5
31290,21677 -> 1
2227,18433 -> 3
1315,17816 -> 5
32325,19439 -> 3
1540,18296 -> 1
3854,5061 -> 5
14628,2945 -> 5
19029,14096 -> 8
6929,29469 -> 3
9307,29111 -> 4
2854,11743 -> 3
26373,15757 -> 8
16552,947 -> 5
14425,24139 -> 7
28049,6639 -> 7
15193,12938 -> 2
13926,7511 -> 2
17636,15515 -> 6
18611,21552 -> 8
417,11337 -> 2
25078,756 -> 2
2851,20199 -> 5
5925,4939 -> 3
6596,15683 -> 5
12562,24656 -> 8
3568,30541 -> 5
3166,15432 -> 2
18124,27532 -> 6
11193,858 -> 2
30087,15561 -> 4
8600,11246 -> 7
9139,616 -> 1
12977,4274 -> 7
18546,20590 -> 7
9442,31098 -> 1
23403,6697 -> 5
9792,32633 -> 4
9652,3813 -> 7
9862,7812 -> 7
28723,29259 -> 7
28966,26714 -> 8
27700,14887 -> 1
24732,12333 -> 3
7704,31185 -> 4
13277,29657 -> 1
31595,26486 -> 1
29935,5517 -> 8
9417,8673 -> 6
3091,29658 -> 6
31056,23969 -> 1
7439,26459 -> 7
1183,22174 -> 2
13415,29812 -> 7
18819,24440 -> 6
10422,25821 -> 7
31467,14917 -> 8
30820,20470 -> 2
8633,7820 -> 3
26208,10770 -> 4
18818,32394 -> 4
14522,4666 -> 8
26471,21035 -> 1
21029,4894 -> 2
5510,30772 -> 3
31683,14121 -> 7
17073,11930 -> 7
9945,30965 -> 2
26998,18679 -> 2
17972,4239 -> 1
4757,14484 -> 6
11622,13131 -> 4
9848,15249 -> 3
14370,24352 -> 5
11859,12547 -> 7
26216,3002 -> 5
28901,11815 -> 8
10809,27337 -> 5
8222,5373 -> 8
27145,3636 -> 3
25621,9953 -> 5
18231,9787 -> 8
17673,28161 -> 3
6687,25260 -> 7
6508,28355 -> 8
23982,10677 -> 1
32299,28274 -> 1
643,7167 -> 3
20132,20174 -> 4
26105,4369 -> 1
24340,5716 -> 7
947,10280 -> 4
14173,19287 -> 5
30847,2321 -> 8
1396,23621 -> 7
9131,19876 -> 2
17890,31142 -> 5
12326,6122 -> 2
1545,5821 -> 1
8447,25121 -> 6
30524,19410 -> 8
13594,27921 -> 7
6857,8585 -> 3
9277,9838 -> 3
28284,28379 -> 4
27583,17477 -> 3
32336,31621 -> 6
11137,29599 -> 1
27460,5896 -> 5
1011,10204 -> 1
8331,22680 -> 2
3160,9598 -> 6
26518,22147 -> 8
25736,7762 -> 1
8357,25589 -> 4
10202,28218 -> 6
26849,23090 -> 5
12033,3854 -> 2
14386,11919 -> 6
11522,32586 -> 5
20553,10455 -> 1
22411,27255 -> 4
921,1501 -> 7
1360,13217 -> 2
13877,16490 -> 3
3390,24887 -> 5
21447,11983 -> 4
18337,10008 -> 7
7454,11702 -> 7
28308,14029 -> 7
29969,16655 -> 6
19789,26391 -> 7
1942,31281 -> 1
17961,31576 -> 7
5992,7804 -> 5
17794,10373 -> 6
15766,3105 -> 3
19380,14498 -> 2
17347,17123 -> 5
25311,12018 -> 7
19724,21740 -> 3
9541,24170 -> 4
2761,26623 -> 8
32596,20739 -> 3
4516,27070 -> 5
9408,31222 -> 1
22718,14771 -> 4
21049,17949 -> 6
20438,25184 -> 8
32153,1241 -> 7
6832,5766 -> 4
5292,10580 -> 6
12080,6743 -> 7
28369,22273 -> 4
8417,6239 -> 4
12334,23957 -> 7
8164,12348 -> 6
7472,2051 -> 5
27254,24961 -> 1
21376,16146 -> 1
30612,24410 -> 7
6596,19369 -> 7
18017,27080 -> 6
2491,19950 -> 3
20828,3982 -> 4
20633,5564 -> 1
30091,18469 -> 6
12206,15913 -> 4
32032,14170 -> 8
23481,4366 -> 1
14917,13399 -> 6
25468,6349 -> 8
2583,27722 -> 8
30310,13771 -> 6
241,15595 -> 1
19060,23129 -> 8
14487,15755 -> 7
3222,2817 -> 7
3563,28021 -> 2
18739,14958 -> 5
24355,13512 -> 1
8879,24428 -> 3
23741,24847 -> 5
2552,2231 -> 7
3762,6471 -> 7
4483,1414 -> 8
7299,32018 -> 6
27974,19229 -> 1
576,20804 -> 5
21134,24270 -> 8
30107,20499 -> 5
16576,2347 -> 8
9626,32141 -> 7
22637,16984 -> 1
1169,20769 -> 1
22592,28862 -> 4
16229,11102 -> 2
12194,2709 -> 4
13897,31548 -> 4
25912,16369 -> 5
2672,14462 -> 1
25478,22115 -> 1
29038,280 -> 7
10317,8264 -> 2
19003,17818 -> 6
25486,18775 -> 1
14617,5394 -> 7
22833,24346 -> 7
9927,21217 -> 3
25793,22345 -> 4
13509,370 -> 7
24769,12100 -> 5
23455,25312 -> 1
31609,26401 -> 4
18802,3298 -> 7
16734,24587 -> 7
1574,16286 -> 8
26969,22752 -> 1
12312,26414 -> 5
18832,13648 -> 2
7971,15867 -> 8
23438,15089 -> 7
13646,6718 -> 2
27864,19706 -> 4
27529,6981 -> 6
5449,15024 -> 6
3642,15184 -> 7
24276,15776 -> 8
28811,20763 -> 2
17020,7226 -> 1
28347,22649 -> 8
19609,23158 -> 2
14047,31623 -> 8
28371,17783 -> 1
19668,24157 -> 1
20557,18553 -> 7
26961,11605 -> 4
23797,10342 -> 2
32091,29229 -> 8
31491,20702 -> 6
6796,20153 -> 3
14843,6311 -> 7
5603,31714 -> 3
4314,7351 -> 5
15908,25120 -> 7
26929,22606 -> 2
16358,23735 -> 3
21336,17894 -> 5
8422,19285 -> 3
25611,26597 -> 7
26934,3564 -> 8
30211,26951 -> 8
27747,29912 -> 7
27241,26050 -> 2
32166,9144 -> 6
6465,9752 -> 5
441,28539 -> 5
32527,2186 -> 5
5619,28814 -> 7
26481,13995 -> 1
14244,26685 -> 4
27743,261 -> 7
18424,17556 -> 2
12361,3663 -> 1
18373,4202 -> 4
19800,20260 -> 2
1041,1376 -> 4
7793,10362 -> 5
30513,21491 -> 3
22227,22095 -> 4
11215,6645 -> 5
25441,30011 -> 7
17981,31242 -> 6
=== Land Nr. 5 ===
23803,15603 -> 1
19933,26365 -> 6
30071,3807 -> 5
13192,3073 -> 3
20749,25419 -> 6
13106,22343 -> 1
15452,9442 -> 3
24136,7780 -> 7
13137,32110 -> 1
10615,11394 -> 8
18327,18456 -> 5
5080,22612 -> 3
13656,7321 -> 8
14011,5179 -> 2
27506,1051 -> 3
5250,21798 -> 3
2167,13246 -> 7
8788,15636 -> 3
24588,29175 -> 6
7049,15420 -> 8
5251,25420 -> 7
32536,26694 -> 2
16063,12308 -> 3
30330,11042 -> 5
4813,6208 -> 3
8892,13144 -> 8
31156,27491 -> 6
14259,19947 -> 1
18784,19051 -> 5
13964,5664 -> 6
10691,26059 -> 1
20531,16845 -> 5
25209,26117 -> 1
19788,20731 -> 8
20112,9685 -> 4
7332,7675 -> 6
7239,11378 -> 8
10860,18248 -> 1
23778,15254 -> 8
12709,16066 -> 4
19683,6227 -> 8
9843,554 -> 6
14150,18141 -> 7
29532,12007 -> 2
30354,4304 -> 2
23717,22397 -> 6
27876,10910 -> 7
17468,19263 -> 8
26681,30755 -> 4
3574,28952 -> 1
23200,6557 -> 7
22290,31886 -> 7
9760,24936 -> 8
25907,12357 -> 8
2676,26717 -> 8
28757,9125 -> 4
5866,31139 -> 5
2158,10621 -> 4
27916,20554 -> 8
8879,5046 -> 1
12500,28690 -> 5
9129,13416 -> 3
18850,4133 -> 4
21190,14074 -> 7
9005,27060 -> 8
22726,19476 -> 8
28,5552 -> 4
3663,14725 -> 7
14357,19481 -> 7
16559,15219 -> 2
31075,7323 -> 4
597,22120 -> 2
27258,27500 -> 3
27072,21018 -> 7
=== Land Nr. 6 ===
25093,28333 -> 8
7366,8968 -> 7
27726,26557 -> 7
32636,7480 -> 2
2830,12598 -> 7
9534,29885 -> 4
6413,17811 -> 3
1904,24788 -> 1
3363,27572 -> 4
22807,15534 -> 8
4206,3505 -> 3
24418,19786 -> 3
2527,13251 -> 1
22192,30187 -> 8
30056,39 -> 8
26814,11527 -> 2
10097,10825 -> 5
25596,459 -> 8
3431,9884 -> 5
3393,1668 -> 4
8822,13794 -> 8
23630,3720 -> 4
15311,20954 -> 5
2278,28288 -> 7
4627,9865 -> 4
20835,25624 -> 6
5553,20122 -> 4
9488,1665 -> 5
14935,11912 -> 7
11184,13133 -> 2
2508,23952 -> 3
20728,25484 -> 6
2255,23713 -> 7
21997,17199 -> 7
22726,15034 -> 8
17241,22818 -> 5
=== Land Nr. 7 ===
5993,893 -> 4
16353,6297 -> 8
22955,16356 -> 5
4442,25726 -> 5
20877,14932 -> 5
17519,29714 -> 4
18085,28287 -> 8
26300,13326 -> 4
6009,25309 -> 4
16097,16877 -> 2
3581,27811 -> 3
19268,1838 -> 8
31708,24696 -> 4
23411,22691 -> 8
25426,16737 -> 5
8553,25131 -> 8
30646,27801 -> 5
28451,8559 -> 4
3351,23629 -> 1
19009,21111 -> 6
12399,13431 -> 4
25270,1835 -> 4
10834,13387 -> 6
6825,16168 -> 3
11317,11253 -> 1
32014,18282 -> 3
27794,2457 -> 7
3507,438 -> 2
4250,16848 -> 3
6314,470 -> 4
561,5917 -> 4
24660,17141 -> 8
18284,24842 -> 7
4221,8650 -> 3
11467,16111 -> 1
589,22608 -> 4
9687,27541 -> 2
28659,32307 -> 1
16382,32297 -> 6
2137,7495 -> 3
=== Land Nr. 8 ===
29113,6723 -> 3
12865,19363 -> 8
1122,13294 -> 7
2968,1323 -> 7
24901,28141 -> 5
7404,15542 -> 8
15051,1976 -> 4
8763,24855 -> 1
28891,7650 -> 3
412,27817 -> 8
15293,31462 -> 4
23921,5681 -> 2
11045,12178 -> 4
29474,28727 -> 8
28464,29061 -> 6
30865,16418 -> 2
16245,9082 -> 2
14790,10422 -> 5
6277,15965 -> 8
9607,31698 -> 2
606,25426 -> 6
4821,13682 -> 5
12999,32318 -> 4
8835,22120 -> 4
13456,23925 -> 7
1898,8009 -> 6
22821,20108 -> 8
1248,7297 -> 5
11257,31120 -> 3
26236,6792 -> 1
30639,11016 -> 5
25938,1455 -> 8
15128,21134 -> 4
11816,31492 -> 4
16464,32481 -> 3
22867,30772 -> 7
29347,25026 -> 7
28735,13947 -> 8
8203,13562 -> 3
26063,24831 -> 5
6492,1877 -> 2
32274,4396 -> 7
12410,21373 -> 5
22285,23526 -> 6
30256,7154 -> 5
26493,20660 -> 2
24963,28319 -> 3
10720,10277 -> 2
18577,30640 -> 2
6449,4394 -> 1
22363,32437 -> 6
29198,9495 -> 7
2836,6720 -> 7
9798,6270 -> 3
14528,25975 -> 8
27136,21299 -> 7
23629,24663 -> 3
2304,17422 -> 8
26994,11923 -> 1
6059,5449 -> 1
10730,29276 -> 8
26336,27785 -> 4
27890,22389 -> 6
12990,11772 -> 3
31246,22613 -> 1
9197,23561 -> 6
28029,10836 -> 8
14348,13698 -> 7
28399,24334 -> 4
20804,12906 -> 1
9035,30847 -> 1
22075,923 -> 4
24754,14987 -> 2
17117,21488 -> 2
6148,16361 -> 5
8109,18895 -> 1
10630,4528 -> 5
22687,15897 -> 2
643,2035 -> 6
11694,23019 -> 5
32766,24366 -> 1
18087,24254 -> 6
14030,377 -> 8
8415,21693 -> 1
31667,21424 -> 6
26836,18800 -> 5
26196,13855 -> 7
10978,15630 -> 1
8218,9542 -> 5
28054,26384 -> 1
